Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.1007/s40860-024-00232-0,The future of human and animal digital health platforms,2024,journal-article,https://doi.org/10.1007/s40860-024-00232-0,"0000-0003-1261-2234, 0009-0009-1780-8501",Artificial Intelligence in Service Industry,Artificial Intelligence,Computer Science,Physical Sciences,38,1,"['Digital Twin', 'Animal health']"
10.3390/info15080423,FILO: Automated FIx-LOcus Identification for Android Framework Compatibility Issues,2024,journal-article,https://doi.org/10.3390/info15080423,"0000-0003-1261-2234, 0000-0002-3499-0159, 0000-0003-2120-2894, 0000-0001-9527-7042",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,29,0,"['Backward compatibility', 'Software Fault Localization', 'Fault Detection and Correction', 'Program Repair', 'Android app']"
10.1145/3643916.3644409,Analyzing Prompt Influence on Automated Method Generation: An Empirical Study with Copilot,2024,conference-paper,https://doi.org/10.1145/3643916.3644409,"0000-0003-1261-2234, 0009-0007-8464-8435, 0000-0001-9527-7042, 0000-0003-2120-2894",Empirical Studies in Software Engineering,Information Systems,Computer Science,Physical Sciences,15,1,"['Automated Testing', 'Empirical research']"
10.1145/3644032.3644463,Anonymizing Test Data in Android: Does It Hurt?,2024,conference-paper,https://doi.org/10.1145/3644032.3644463,"0000-0003-1261-2234, 0009-0002-6969-1500, 0000-0003-1489-321X, 0000-0003-1994-8929, 0000-0001-9527-7042",Privacy-Preserving Techniques for Data Analysis and Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences,22,0,"['Anonymization', 'Privacy Preservation', 'Differential Privacy', 'Location Privacy', 'Software bug', 'Empirical research']"
10.1145/3643916.3644402,Generating Java Methods: An Empirical Assessment of Four AI-Based Code Assistants,2024,conference-paper,https://doi.org/10.1145/3643916.3644402,"0000-0003-1261-2234, 0009-0006-3748-9198, 0000-0001-9527-7042, 0000-0003-2120-2894",Empirical Studies in Software Engineering,Information Systems,Computer Science,Physical Sciences,19,4,"['Code (set theory)', 'Implementation', 'Source Code Analysis', 'Code Clone Detection', 'API Usage Patterns', 'Pair Programming', 'Agile Software Development']"
10.1145/3639478.3643122,Assessing AI-Based Code Assistants in Method Generation Tasks,2024,conference-paper,https://doi.org/10.1145/3639478.3643122,"0000-0003-1261-2234, 0009-0006-3748-9198, 0000-0001-9527-7042, 0000-0003-2120-2894",Empirical Studies in Software Engineering,Information Systems,Computer Science,Physical Sciences,1,0,"['Code (set theory)', 'Code review', 'Source Code Analysis', 'Code Clone Detection', 'Program code']"
10.1016/j.jss.2023.111949,Automatic testing of runtime enforcers with Test4Enforcers,2024,journal-article,https://doi.org/10.1016/j.jss.2023.111949,"0000-0003-1261-2234, 0000-0003-2120-2894, 0000-0001-9527-7042",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,50,0,['Automated Testing']
10.3390/healthcare11111604,Embedding the Patient-Citizen Perspective into an Operational Framework for the Development and the Introduction of New Technologies in Rehabilitation Care: The Smart&amp;Touch-ID Model,2023,journal-article,https://doi.org/10.3390/healthcare11111604,"0000-0003-1261-2234, 0000-0002-7879-4723, 0000-0002-2851-8376, 0000-0003-1489-321X, 0000-0002-8395-0452, 0000-0003-1342-5908, 0000-0002-5551-4741, 0000-0003-0573-7178, 0009-0003-5599-9181, 0000-0002-7659-885X, 0000-0003-2411-999X, 0000-0002-4062-0824, 0000-0003-1381-9069, 0000-0002-1373-5802, 0000-0003-4772-9109, 0000-0002-6145-5274",Telemedicine in Global Healthcare,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,26,2,"['Remote Treatment', 'Patient Engagement']"
10.1007/s40860-021-00167-w,Deep learning and model personalization in sensor-based human activity recognition,2022,journal-article,https://doi.org/10.1007/s40860-021-00167-w,"0000-0003-1261-2234, 0000-0001-5718-630X, 0000-0002-3499-0159, 0000-0001-9112-0574",Activity Recognition in Pervasive Computing Environments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,39,49,"['Activity Recognition', 'Social Sensing', 'Ambient Intelligence', 'Deep Learning', 'Wearable Sensors', 'Activity tracker']"
10.1109/TSE.2020.2998527,TkT: Automatic Inference of Timed and Extended Pushdown Automata,2020,journal-article,https://doi.org/10.1109/TSE.2020.2998527,"0000-0003-1261-2234, 0000-0003-3541-3641, 0000-0002-3006-4414, 0000-0001-9527-7042",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,53,5,"['Model-driven Performance Prediction', 'Software Maintenance', 'Software Defect Prediction', 'Requirements Traceability', 'Source Code Analysis', 'Functional specification', 'Functional requirement']"
