ORCID ID,Given_Name,Family_Name,Role,Keywords,Organization,H Index,Citations
0000-0003-0998-7561,Joshua,Knight,Research Staff Member,Nessuna,IBM Thomas J Watson Research Center,7,401
0000-0002-5193-8782,Francisco J.,Vico,,Nessuna,Professor of Computer Science,17,1334
0000-0002-5077-7518,PAOLO,LAGO,,Nessuna,"Professor de Química, Universidade de São Paulo",41,5782
0000-0003-0725-9202,Songhyun,Yu,,Nessuna,Hanyang University,8,603
0000-0002-2824-1215,Filio,Billia,,Nessuna,University of Toronto,37,6997
0000-0002-8799-4495,Tanvir,Alam,eExam Supervisor,"Waste-to-Energy,Biomass and Bioenergy, Gasification, Combustion, Ash Slagging,  Waste Management",Monash  University,28,3825
0000-0003-2996-5714,Alice,Gualerzi,,"extracellular vesicles, regenerative medicine, Raman spectroscopy, neurological disorders, human anatomy, histology, stroke, rehabilitation",Fondazione Don Carlo Gnocchi,24,12012
0000-0002-0204-1709,Mingwei,Zhang,,Nessuna,"Senior Software Engineer, Google",14,1484
0000-0002-9993-7017,Xuelu,Li,,Nessuna,Amazon,10,453
0000-0001-9836-9487,Laura,Danelli,,Nessuna,ASST Bergamo Ovest,13,1048
0000-0001-8210-2163,Elizabeth,Coker,,Nessuna,"AstraZeneca, Cambridge",11,911
0000-0002-3108-8311,Dominik,Heider,Diretor,Nessuna,University of Münster,38,4644
0000-0001-6345-6396,hao,wang,,Nessuna,Johns Hopkins University,68,46313
0000-0002-6145-2153,Ashley,Wang,,Nessuna,"Soochow University, Taiwan",13,601
0000-0002-0660-8389,Tommaso,Pasini,,Nessuna,Bloomberg LP,20,1455
0000-0003-2173-9819,VALENTINA,CRIPPA,,Nessuna,"PhD student, University of Milano-Bicocca",5,118
0009-0007-8671-7924,Omar,Elezabi,PhD Student,Nessuna,University of Würzburg,3,31
0000-0002-3597-4310,Roger,Guimera,ICREA Research Professor,Nessuna,Universitat Rovira i Virgili,39,20752
0000-0002-2555-040X,JINHAN,KIM,,Nessuna,Università della Svizzera italiana (USI),11,731
0000-0003-0299-7206,Cheolkon,Jung,,Nessuna,"Born Again Christian, Professor, Xidian University",30,3586
0000-0002-1716-658X,Maurilio Cosimo,BRUNO,consulente,"CHIRURGIA DELLA MANO, MICROCHIRURGIA, PLESSO BRACHIALE, NERVI PERIFERICI, PROTESI DI GOMITO",Policlinico di Monza SpA,,
0000-0001-9311-6755,Pedro,Mendes,,"Computer Graphics, Computer Vision, Human-Computer Interaction",University of Connecticut,61,28648
0000-0002-8372-3858,Andrea,Di Rosa,Research Fellow,Archaeology; Arts and Humanities; Social Sciences,University of Haifa,45,7040
0000-0003-2981-043X,Matthias,Klumpp,,Nessuna,"Politecnico di Milano, School of Management",29,3844
0000-0002-8221-6694,Stefania,Guida,,Nessuna,Vita-Salute San Raffaele University,22,1547
0000-0003-4392-8725,Livia,Perfetto,Assistant Professor (RTDB),Nessuna,Universita degli Studi di Roma La Sapienza Dipartimento di Biologia e Biotecnologie Charles Darwin,25,13255
0000-0001-8565-9194,Marin,Lujak,Distinguished Researcher Lecturer,"Distributed Computational Optimization, Multi-Agent Systems, Coordination",Universidad Rey Juan Carlos,16,1020
0000-0002-7147-2318,Chia Hsuan,Hsieh,,Nessuna,University of Pittsburgh,8,372
0000-0001-8068-426X,Hamid,Bolouri,,Nessuna,Fred Hutchinson Cancer Research Center,47,17786
0000-0002-3609-1149,michael,yu,,Nessuna,"Professor of Neurosience, Albert Eimstein College of Medicine",102,34377
0000-0003-2002-2277,Magali,Michaut,,Nessuna,Københavns Universitet,27,3553
0000-0003-4391-1130,Weng Khong,Lim,Assistant Professor,Nessuna,Duke-NUS Medical School,31,4978
0000-0002-3466-6535,Emre,Guney,,"computational biology, network medicine, disease bioinformatics, systems pharmacology","CTO, Head of Discovery and Data Science at STALICLA",26,3618
0000-0002-8824-6165,michael,kozak,,Nessuna,Penn State College of Medicine,4,207
0000-0002-0279-2000,Tian,Ye,,Nessuna,Technical Institute of Physics and Chemistry,59,13537
0000-0003-0845-7227,Matthew,Kirk,Postdoctoral Research Associate,Nessuna,Durham University,22,3343
0000-0002-0550-7498,Luca,Moschella,Dottorandi,Nessuna,"Universita` degli Studi di ROMA ""La Sapienza""",7,1368
