"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works","H Index","Citations"
"SEYED MOJTABA","DARYABARI","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","",""
"MANUEL","ELIA","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","",""
"FEDERICA","FILIPPINI","(INF/01)","Computer Science","Research Fellow","0000-0002-6549-924X","University of Milano-Bicocca","APPROVED","Post-Doc Researcher",2024.0,"","",14.0,6.0,49.0
"YOUNAN","GAO","(INF/01)","Computer Science","Research Fellow","0000-0003-4984-2551","","TO CHECK","","","Data Structures and Algorithms","",6.0,"",""
"ROBERTO","GARRONE","(INF/01)","Computer Science","Research Fellow","0009-0005-7060-6774","University of Milano-Bicocca","APPROVED","Assegnista",2024.0,"Nessuna","",0.0,"",""
"ALESSANDRO","GHERARDI","(INF/01)","Computer Science","Research Fellow","0000-0002-5347-3851","Advanced Research Center on Electronic System (ARCES)","TO CHECK","Researcher",2003.0,"Computer science, Computer vision, Image analysis, Image processing, mosaicing, skin surface analysis, computer graphics, virtual and augmented reality","A-3021-2012",38.0,"",""
"ALESSANDRA","GROSSI","(INF/01)","Computer Science","Research Fellow","0000-0003-1308-8497","","TO CHECK","","","Effective computing, signal analysis, physiological signal, speech emotion recognition","",13.0,5.0,49.0
"LUCA","GUGLIELMO","(INF/01)","Computer Science","Research Fellow","0000-0002-5580-3623","","TO CHECK","","","","",1.0,2.0,16.0
"PRANAV","KASELA","(INF/01)","Computer Science","Research Fellow","0000-0003-0972-2424","University of Milano-Bicocca","APPROVED","PhD Student","","information retrieval, neural model, deep learning","",3.0,3.0,38.0
"ELSON","KURIAN","(INF/01)","Computer Science","Research Fellow","0000-0002-6392-0870","University of Milano-Bicocca","APPROVED","Research Fellow (Assegnista Di Riccerca)",2023.0,"software reliability, software testing","",3.0,2.0,18.0
"GIORGIO","LONGARI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0002-2086-9091","University of Milano-Bicocca","APPROVED","Guest Researcher",2024.0,"Nessuna","",1.0,"",""
"FILIPPO","MAGGIOLI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0001-8008-8468","Universita` degli Studi di ROMA ""La Sapienza""","TO CHECK","Assegnisti",2023.0,"Nessuna","",17.0,"",""
"JACOPO","MALTAGLIATI","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","",""
"LUCA","MARCONI","(INF/01)","Computer Science","Research Fellow","0000-0002-0236-6159","University of Milano-Bicocca","APPROVED","Postdoctoral Researcher",2024.0,"Human-Centered AI, Human-AI Interaction, Decision Support, Explainable AI, Complex Systems","",22.0,2.0,17.0
"GIORGIO","MARIANI","(INF/01)","Computer Science","Research Fellow","0000-0003-3906-0513","","TO CHECK","","","Nessuna","",0.0,"",""
"GIULIAMARIA","MENARA","(INF/01)","Computer Science","Research Fellow","0000-0001-7010-2000","Università degli Studi di Trieste","TO CHECK","PhD Student",2021.0,"Nessuna","",4.0,"",""
"GIAN CARLO","MILANESE","(INF/01)","Computer Science","Research Fellow","0000-0002-1757-0152","Università degli Studi di Milano-Bicocca","APPROVED","PhD Student",2020.0,"Knowledge Representation","",5.0,3.0,17.0
"SANDIP JAYANTLIAL","MODHA","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","","","",""
"SARA","NOCCO","(INF/01)","Computer Science","Research Fellow","0009-0000-6086-8213","University of Milano-Bicocca","APPROVED","Research Fellow",2024.0,"Nessuna","",0.0,"",""
"MARIA TERESA","ROSSI","(ING-INF/05)","Information Processing Systems","Research Fellow","0000-0003-0273-7324","","TO CHECK","","","","",14.0,3.0,59.0
"AURORA","SAIBENE","(INF/01)","Computer Science","Research Fellow","0000-0002-4405-8234","Università degli Studi di Milano-Bicocca Dipartimento di Informatica Sistemistica e Comunicazione","APPROVED","Postdoctoral fellow",2022.0,"BCI, EEG, Neuroinformatics","",17.0,9.0,408.0
"SEYEDIMAN","SEYEDI","(MAT/09)","Operations Research","Research Fellow","","","TO CHECK","","","","","","",""
"EFFROSYNI","SOKLI","(INF/01)","Computer Science","Research Fellow","0009-0003-5388-2385","University of Milano-Bicocca","APPROVED","","","Information Retrieval, Natural Language Processing, Representation Learning","",0.0,0.0,"NA"
"HOLGADO LUCIA","VICENTE","(INF/01)","Computer Science","Research Fellow","0000-0002-6733-6567","Clinica Saude Animal ","TO CHECK","Médica Veterinária",1997.0,"Nessuna","",0.0,"",""
"AN QI","ZHAO","(INF/01)","Computer Science","Research Fellow","0009-0009-3390-7024","University of Milano-Bicocca","APPROVED","","","Nessuna","",0.0,"",""
"QURBAN","ALI","","SSD not available","Research Fellow","0009-0003-0087-9270","University of Milano-Bicocca","APPROVED","PhD Student ",2023.0,"Autonomous Driving Systems (ADS), Software Testing, Machine Learning, Cyber Physical Systems (CPS)","",0.0,"",""
"ABUBAKARI","ALIDU","","SSD not available","PhD Student","0009-0000-9251-919X","University of Milano-Bicocca","APPROVED","","","Machine learning, Natural Language Processing (NLP), Knowledge and Analytics Engineering","",0.0,3.0,79.0
"HAMZA","AMRANI","","SSD not available","PhD Student","0000-0002-7081-6051","Constantine 1 University","TO CHECK","","","Deep Learning, Representation Learning, Signal Processing","",4.0,2.0,28.0
"GIANMARIA","BALDUCCI","","SSD not available","PhD Student","0000-0003-3607-0951","","TO CHECK","","","NLP","",0.0,1.0,1
"THOMAS","BARBERA","","SSD not available","PhD Student","0009-0001-5684-1867","University of Milano-Bicocca","APPROVED","PhD Student",2023.0,"EEG Processing, Deep Learning, Digital Signal Processing, Neuroinformatics, AI-Assisted Healthcare","",0.0,"",""
"FRANCESCO","CANONACO","","SSD not available","PhD Student","0009-0006-5554-8665","University of Milano-Bicocca","APPROVED","",2023.0,"Nessuna","",0.0,"",""
"MICHELE","CARBONERA","","SSD not available","PhD Student","0009-0000-3537-1977","","TO CHECK","","","","",0.0,1.0,1.0
"VASCO","COELHO","","SSD not available","PhD Student","0009-0007-5742-0929","","TO CHECK","","","Global optimization","",0.0,2.0,11
"LUCA","COGO","","SSD not available","PhD Student","0009-0001-0056-053X","University of Milano-Bicocca","APPROVED","PhD Student",2023.0,"Nessuna","",0.0,"",""
"DAVIDE","COZZI","","SSD not available","PhD Student","0000-0003-2439-0608","","TO CHECK","","","","",6.0,27.0,2226
"SALVATORE","D'ANTONA","","SSD not available","PhD Student","0000-0002-1283-8789","","TO CHECK","","","Nessuna","",10.0,"",""
"FEDERICA","DI LAURO","","SSD not available","PhD Student","0000-0003-1244-6942","Istituto Nazionale di Geofisica e Vulcanologia Sezione di Milano","APPROVED","Researcher",2022.0,"Robotics, Point Cloud","",19.0,1.0,10.0
"FEDERICO","DI MARCO","","SSD not available","PhD Student","0000-0003-0376-1342","University of Milano-Bicocca","APPROVED","PhD Student",2023.0,"Nessuna","",20.0,"",""
"CATERINA","FREGOSI","","SSD not available","PhD Student","0009-0004-7626-8131","University of Milano-Bicocca","APPROVED","PhD",2024.0,"Human AI Interaction, eXplainable AI, Decision Support System","",0.0,1.0,2.0
"GIOVANNI DONATO","GALLO","","SSD not available","PhD Student","0009-0009-2413-5149","","TO CHECK","","","","",0.0,0.0,"NA"
"MATTEO","GARAVAGLIA","","SSD not available","PhD Student","0009-0006-7451-3986","","TO CHECK","","","Nessuna","",0.0,"",""
"MARCO","LOCATELLI","","SSD not available","PhD Student","0000-0003-0778-3653","","TO CHECK","","","Nessuna","",166.0,"",""
"FRANCESCA","MACCARONE","","SSD not available","PhD Student","0009-0004-6221-2671","University of Milano-Bicocca","APPROVED","PhD student",2023.0,"Neuroimaging, MRI, Machine learning, Geometry processing","",0.0,0.0,"NA"
"ATIEH","MAHROO","","SSD not available","PhD Student","0000-0002-2962-3661","","TO CHECK","","","Nessuna","",14.0,"",""
"FARIHA","MAQBOOL","","SSD not available","PhD Student","0009-0008-2587-9417","University of Milano-Bicocca","APPROVED","PhD student",2023.0,"Machine Learning, Natural Language Processing, Computer Vision","",3.0,2.0,7.0
"MARIO","MARINO","","SSD not available","PhD Student","0000-0002-4686-7297","","TO CHECK","","","Nessuna","",0.0,"",""
"ALBERTO","MINORA","","SSD not available","PhD Student","","","TO CHECK","","","","","","",""
"FRANCESCO","MORANO","","SSD not available","PhD Student","0009-0008-4593-4778","University of Milano-Bicocca","APPROVED","","","Nessuna","",0.0,"",""
"CHIARA","NATALI","","SSD not available","PhD Student","0000-0002-0293-171X","University of Florence","TO CHECK","Technician","","Artificial Intelligence, Human-AI Interaction, Human-Computer Interaction, Explainable AI, CSCW","",2.0,6.0,136.0
"MARCO","PIAZZA","","SSD not available","PhD Student","0000-0001-7105-2017","","TO CHECK","","","","",0.0,1.0,3
"FEDERICO","PIROLA","","SSD not available","PhD Student","","","TO CHECK","","","","","","",""
"RICCARDO","POZZI","","SSD not available","PhD Student","0000-0002-4954-3837","","TO CHECK","","","deep learning, natural language processing, knowledge representation, information extraction, knowledge base population","",3.0,4.0,25.0
"BRIAN","RICCARDI","","SSD not available","PhD Student","0000-0002-4925-9529","","TO CHECK","","","","",6.0,2.0,11.0
"GIORGIA","RIGAMONTI","","SSD not available","PhD Student","0009-0006-4253-1020","University of Milano-Bicocca","APPROVED","PhD Student",2023.0,"Nessuna","",0.0,"",""
"NICCOLÒ","ROCCHI","","SSD not available","PhD Student","0009-0000-9764-0036","","TO CHECK","","","Nessuna","",0.0,"",""
"LORENZO","ROVIDA","","SSD not available","PhD Student","0000-0001-5093-7932","","TO CHECK","","","Fully Homomorphic Encryption, Lattice-based Cryptography","",5.0,3.0,20.0
"DANIEL","SCALENA","","SSD not available","PhD Student","0009-0006-0518-6504","University of Groningen","TO CHECK","","","Artificial Intelligence, Natural language processing, Interpretability","",1.0,1.0,4.0
"MATTIA","SGRO","","SSD not available","PhD Student","0009-0003-5838-5329","Università degli Studi di Milano-Bicocca","APPROVED","PhD Student",2023.0,"bioinformatics, datastructures","",1.0,0.0,"NA"
"SAHAR","SHAH","","SSD not available","PhD Student","0000-0002-9943-935X","","TO CHECK","","","Nessuna","",1.0,"",""
"MOHAMED NASSER HASSAN","SWEILAM","","SSD not available","PhD Student","0009-0004-7796-0613","University of Milano-Bicocca","APPROVED","PhD student","","Nessuna","",0.0,"",""
