"Given Name","Family Name","Department Code","Specific Field","Role"
"DAVIDE","COZZI","","SSD not available","PhD Student"
"SALVATORE","D'ANTONA","","SSD not available","PhD Student"
"FEDERICA","DI LAURO","","SSD not available","PhD Student"
"FEDERICO","DI MARCO","","SSD not available","PhD Student"
"CATERINA","FREGOSI","","SSD not available","PhD Student"
"GIOVANNI DONATO","GALLO","","SSD not available","PhD Student"
"MATTEO","GARAVAGLIA","","SSD not available","PhD Student"
"MARCO","LOCATELLI","","SSD not available","PhD Student"
"FRANCESCA","MACCARONE","","SSD not available","PhD Student"
"ATIEH","MAHROO","","SSD not available","PhD Student"
"FARIHA","MAQBOOL","","SSD not available","PhD Student"
"MARIO","MARINO","","SSD not available","PhD Student"
"ALBERTO","MINORA","","SSD not available","PhD Student"
"FRANCESCO","MORANO","","SSD not available","PhD Student"
"CHIARA","NATALI","","SSD not available","PhD Student"
"MARCO","PIAZZA","","SSD not available","PhD Student"
"FEDERICO","PIROLA","","SSD not available","PhD Student"
"RICCARDO","POZZI","","SSD not available","PhD Student"
"BRIAN","RICCARDI","","SSD not available","PhD Student"
"GIORGIA","RIGAMONTI","","SSD not available","PhD Student"
"NICCOLÒ","ROCCHI","","SSD not available","PhD Student"
"LORENZO","ROVIDA","","SSD not available","PhD Student"
"DANIEL","SCALENA","","SSD not available","PhD Student"
"MATTIA","SGRO","","SSD not available","PhD Student"
"SAHAR","SHAH","","SSD not available","PhD Student"
"MOHAMED NASSER HASSAN","SWEILAM","","SSD not available","PhD Student"
"JACOPO","TALPINI","","SSD not available","PhD Student"
"GIULIO","VIGANò","","SSD not available","PhD Student"
