,Given Name,Family Name,Department Code,Specific Field,Role,ORCID ID,Organization,Keywords,H Index,Citations,Past Institutions
46,MATTEO,DOMINONI,(IINF-05/A),Information Processing Systems,Researcher,0000-0001-8481-6311,University of Milan Bicocca,,8.0,2252.0,"['University of Milano-Bicocca', 'University of Milan']"
47,GUIDO,FIORINO,(INFO-01/A),Computer Science,Researcher,0000-0002-0556-0723,University of Milan Bicocca,Computational logic,10.0,333.0,"['University of Milano-Bicocca', 'University of Milan', 'University of Insubria']"
48,DANIELA,BRIOLA,(INFO-01/A),Computer Science,Researcher,0000-0003-1994-8929,University of Milan Bicocca,"Multiagent systems, Multi agent systems, Software Engineering, Virtual Reality, Crowd Simulation",12.0,445.0,"['University of Genoa', 'Ingegneria dei Sistemi (Italy)']"
49,MARCO,BUZZELLI,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0003-1138-3345,University of Milan Bicocca,"computer vision, image processing, machine learning",15.0,977.0,['University of Milan']
50,LUIGI,CELONA,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0002-5925-2646,University of Milan Bicocca,"Visual quality assessment, Computer vision, Deep learning, Machine learning",16.0,2033.0,"['Polytechnic University of Timişoara', 'STMicroelectronics (Italy)']"
51,DAVIDE,CHICCO,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0001-9655-7142,University of Milan Bicocca,"applied machine learning, bioinformatics, biomedical informatics, Matthews correlation coefficient",27.0,14327.0,"['Krembil Research Institute', 'Krembil Foundation', 'University Health Network', 'Princess Margaret Cancer Centre', 'Politecnico di Milano', 'University of California, Irvine', 'Applied Multilayers (United Kingdom)', 'University of Cyprus']"
52,MARCO,CREMASCHI,(INFO-01/A),Computer Science,Fixed-term Researcher,000-0001-7840-6228,University of Milan Bicocca,"Semantic Web, Table interpretation, Semantic Annotations, Clinical Decision Support System",11.0,342.0,
53,ALEX,GRAUDENZI,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0001-5452-1918,University of Milan Bicocca,"Data Science, AI, Bioinformatics, Cancer Evolution, Complex Systems",22.0,1770.0,"['National Academies of Sciences, Engineering, and Medicine', 'Istituto Nazionale di Fisica Nucleare, Laboratori Acceleratori e Superconduttività Applicata', 'University of Milan', 'Courant Institute of Mathematical Sciences', 'University of California, Los Angeles', 'University of Toronto', ""Ca' Foscari University of Venice""]"
54,DAVIDE,MARELLI,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0003-2389-0301,University of Milan Bicocca,"Computer Vision, Computer Graphics, Machine Learning",8.0,308.0,['University of Milano-Bicocca']
55,SIMONE,MELZI,(IINF-05/A),Information Processing Systems,Fixed-term Researcher,0000-0003-2790-9591,University of Milan Bicocca,"geometry processing, shape analysis, shape matching",25.0,6491.0,"['Sapienza University of Rome', 'University of Verona', ""Laboratoire d'Informatique de l'École Polytechnique"", 'École Polytechnique', 'Institut Polytechnique de Paris', 'University of Glasgow']"
56,FRIDA,MILELLA,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0002-0522-2804,University of Milan Bicocca,"Artificial intelligence, ageing, health services, decision support, interaction design",4.0,125.0,"['Istituto Ortopedico Galeazzi', 'Istituti di Ricovero e Cura a Carattere Scientifico', 'University Carlo Cattaneo']"
57,DANIELE MARIA,PAPETTI,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0002-3574-6027,University of Milan Bicocca,"Machine Learning, Artificial Intelligence, Particle Swarm Optimization, Evolutionary Algorithm",5.0,62.0,
58,GEORGIOS,PEIKOS,(INFO-01/A),Computer Science,Fixed-term Researcher,0000-0002-2862-8209,University of Milan Bicocca,"Information Retrieval, Natural Language Processing, Health Informatics",5.0,62.0,[]
59,FLAVIO,PICCOLI,(INFO-01/A),Computer Science,Fixed-term Researcher,0009-0007-0604-7677,University of Milan Bicocca,"Industrial Quality Inspection, Image Enhancement, Speaker Recognition, Earth Observation",11.0,679.0,[]
