"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works"
"MATTEO ALESSANDRO","DOMINONI","(IINF-05/A)","Information Processing Systems","Researcher","0000-0001-8481-6311","Università degli Studi di Milano-Bicocca","APPROVED","Assistant Professor","2002","Nessuna","N/A",3
"GUIDO GIUSEPPE","FIORINO","(INFO-01/A)","Computer Science","Researcher","0000-0002-0556-0723","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",27
"DANIELA","BRIOLA","(INFO-01/A)","Computer Science","Researcher","0000-0003-1994-8929","Università degli Studi di Milano-Bicocca Dipartimento di Informatica Sistemistica e Comunicazione","APPROVED","RTD-B (Assistant Professor)","2022","Nessuna","N/A",43
"MARCO","BUZZELLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-1138-3345","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",27
"LUIGI","CELONA","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-6328-5926","Istituto Nazionale di Fisica Nucleare","TO CHECK","Dirigente Tecnologo","1998","Nessuna","N/A",128
"DAVIDE","CHICCO","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-9655-7142","Universita' di Milano Bicocca","APPROVED","","2023","machine learning, biomedical informatics, computational biology, data mining, computational intelligence, bioinformatics","C-7058-2017",68
"MARCO","CREMASCHI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-4139-1928","SciencesPo","TO CHECK","Full Professor","2015","Nessuna","N/A",166
"ALEX","GRAUDENZI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-5452-1918","Università degli Studi di Milano-Bicocca","APPROVED","Tenure Track Researcher ","2022","Nessuna","N/A",86
"DAVIDE","MARELLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-2389-0301","University of Milano-Bicocca","APPROVED","Postdoctoral Research Fellow","N/A","Nessuna","N/A",10
"SIMONE","MELZI","(IINF-05/A)","Information Processing Systems","Fixed-term Researcher","0000-0003-2790-9591","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"FRIDA","MILELLA","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-0522-2804","University of Milano-Bicocca","APPROVED","Assistant Professor (RTDa)","2023","Nessuna","N/A",9
"DANIELE MARIA","PAPETTI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-3574-6027","Università degli Studi di Milano-Bicocca","APPROVED","Post-doctoral researcher","N/A","Nessuna","N/A",10
"GEORGIOS","PEIKOS","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-2862-8209","Universita' di Milano Bicocca","APPROVED","Ricercatori a tempo determinato","2024","Information Retrieval, Domain Specific Search Engines, Medical Information Retrieval, Generative AI, Natural Language Processing, Clinical Trials Retrieval, Health Informatics","N/A",11
"FLAVIO","PICCOLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0009-0007-0604-7677","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",1
"ALESSANDRO","RAGANATO","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-7018-7515","University of Milano-Bicocca","APPROVED","tenure-track Assistant Professor","2022","language technology, computational linguistics, natural language processing","N/A",36
"MARCO","SAVI","(IINF-05/A)","Information Processing Systems","Fixed-term Researcher","0000-0002-8193-0597","University of Milano-Bicocca","APPROVED","Assistant Professor","2020","Communication Networks, Telecommunications","N/A",43
"BLERINA","SPAHIU","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-6958-8215","Universita degli Studi di Milano-Bicocca","APPROVED","Borsa di ricerca","2017","Nessuna","N/A",16
"IONEL EDUARD","STAN","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-9260-102X","University of Milano-Bicocca","APPROVED","Assistant Professor","2024","Temporal Logic, Computational Complexity, Machine Learning","LCE-8649-2024",14
"SIMONE","ZINI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-8505-1581","University of Milano-Bicocca","APPROVED","Assistant Professor","2024","Computational Photography, Image Processing, Convolutional Neural Networks, Image Restoration, Machine Learning","N/A",15
"FRANCESCO","ARCHETTI","","SSD not available","Fixed-term Researcher","0000-0003-1131-3830","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"GIULIA ROSEMARY","AVIS","(INF/01)","Computer Science","Professor Emeritus","0009-0008-7301-6982","University of Milano-Bicocca","APPROVED","","N/A","Nessuna","N/A",0
"MIRKO PAOLO","BARBATO","(INF/01)","Computer Science","Research Fellow","0000-0002-3967-8957","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",7
"FEDERICO","BELOTTI","(INF/01)","Computer Science","Research Fellow","0009-0008-0140-3318","University of Milano-Bicocca","APPROVED","Research Fellow","2024","Nessuna","N/A",0
"RAMDHANE FIRAS","BEN","(INF/01)","Computer Science","Research Fellow","0000-0002-3607-3231","Université Libre de Tunis","TO CHECK","Teacher","2017","Nessuna","N/A",5
"FEDERICO","BERGAMINI","(ING-INF/05)","Information Processing Systems","Research Fellow","","","TO CHECK","","","","",""
"STEFANIA","BOFFA","(INF/01)","Computer Science","Research Fellow","0000-0002-4171-3459","University of Ostrava","TO CHECK","Postdoctoral researcher","2019","Nessuna","N/A",17
"LUCA","CELOTTI","(INF/01)","Computer Science","Research Fellow","0000-0003-2460-8099","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"MATTEO ROBERT","CHILD","(INF/01)","Computer Science","Research Fellow","","","TO CHECK","","","","",""
