"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works","H Index","Citations"
"MARCO","VIVIANI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2274-9050","Università degli Studi di Milano-Bicocca","APPROVED","Associate Professor",2021.0,"Social Computing, Natural Language Processing, Information Retrieval, Misinformation, Privacy","",61.0,24,1829
"GIUSEPPE","VIZZARI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-7916-6438","University of Milano-Bicocca","APPROVED","Associate professor","","Artificial Intelligence, Multi-Agent Systems, pedestrian simulation, crowd simulation","",204.0,34,3864
"CLAUDIO","ZANDRON","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2163-7639","","TO CHECK","","","Natural Computing, Membrane Computing, Theoretical Computer Science","",10.0,27,4799
"ITALO FRANCESCO","ZOPPIS","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-7312-7123","","TO CHECK","","","Nessuna","",40.0,"NA","NA"
"LUCA","BERNARDINELLO","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-0639-7593","","TO CHECK","","","","",0.0,14,1342
"MATTEO ALESSANDRO","DOMINONI","(IINF-05/A)","Information Processing Systems","Researcher","0000-0001-8481-6311","Università degli Studi di Milano-Bicocca","APPROVED","Assistant Professor",2002.0,"Nessuna","",3.0,"NA","NA"
"GUIDO GIUSEPPE","FIORINO","(INFO-01/A)","Computer Science","Researcher","0000-0002-0556-0723","","TO CHECK","","","Nessuna","",27.0,"NA","NA"
"DANIELA","BRIOLA","(INFO-01/A)","Computer Science","Researcher","0000-0003-1994-8929","Università degli Studi di Milano-Bicocca Dipartimento di Informatica Sistemistica e Comunicazione","APPROVED","RTD-B (Assistant Professor)",2022.0,"Multiagent systems, Multi agent systems, Software Engineering, Virtual Reality, Crowd Simulation","",43.0,12,445
"MARCO","BUZZELLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-1138-3345","","TO CHECK","","","computer vision, image processing, machine learning","",27.0,15,977
"LUIGI","CELONA","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-6328-5926","Istituto Nazionale di Fisica Nucleare","TO CHECK","Dirigente Tecnologo",1998.0,"Visual quality assessment, Computer vision, Deep learning, Machine learning","",128.0,2033,16
"DAVIDE","CHICCO","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-9655-7142","Universita' di Milano Bicocca","APPROVED","",2023.0,"applied machine learning, bioinformatics, biomedical informatics, Matthews correlation coefficient","C-7058-2017",68.0,27,14327
"MARCO","CREMASCHI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-4139-1928","SciencesPo","TO CHECK","Full Professor",2015.0,"Semantic Web, Table interpretation, Semantic Annotations, Clinical Decision Support System","",166.0,342,11
"ALEX","GRAUDENZI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0001-5452-1918","Università degli Studi di Milano-Bicocca","APPROVED","Tenure Track Researcher ",2022.0,"Data Science, AI, Bioinformatics, Cancer Evolution, Complex Systems","",86.0,22,1770
"DAVIDE","MARELLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0003-2389-0301","University of Milano-Bicocca","APPROVED","Postdoctoral Research Fellow","","Computer Vision, Computer Graphics, Machine Learning","",10.0,8,308
"SIMONE","MELZI","(IINF-05/A)","Information Processing Systems","Fixed-term Researcher","0000-0003-2790-9591","","TO CHECK","","","geometry processing, shape analysis, shape matching","",0.0,25,6491
"FRIDA","MILELLA","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-0522-2804","University of Milano-Bicocca","APPROVED","Assistant Professor (RTDa)",2023.0,"Artificial intelligence, ageing, health services, decision support, interaction design","",9.0,4,125
"DANIELE MARIA","PAPETTI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-3574-6027","Università degli Studi di Milano-Bicocca","APPROVED","Post-doctoral researcher","","Machine Learning, Artificial Intelligence, Particle Swarm Optimization, Evolutionary Algorithm","",10.0,5,62
"GEORGIOS","PEIKOS","(INFO-01/A)","Computer Science","Fixed-term Researcher","0000-0002-2862-8209","Universita' di Milano Bicocca","APPROVED","Ricercatori a tempo determinato",2024.0,"Information Retrieval, Natural Language Processing, Health Informatics","",11.0,62,5
"FLAVIO","PICCOLI","(INFO-01/A)","Computer Science","Fixed-term Researcher","0009-0007-0604-7677","","TO CHECK","","","Industrial Quality Inspection, Image Enhancement, Speaker Recognition, Earth Observation","",1.0,11,679
